source_id	tier	category	path	decision	optimized_count	priority	study_stage	fs_level	fs_kind	primary_languages	language_priority	os_fit	covered_by	rationale
winbtrfs	required	windows-public	sources/windows/winbtrfs	keep	yes	P1	platform-support	L0/L1 public Windows FS stack	os-fs	C	Study only after the core FS path is understood.	windows		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
xv6-riscv	important	teaching	sources/teaching/xv6-riscv	defer	no	P3	later-comparison	L0 teaching FS	teaching	C	Study only after the core FS path is understood.	portable/teaching		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
xv6-public	important	teaching	sources/teaching/xv6-public	defer	no	P3	later-comparison	L0 teaching FS	teaching	C	Study only after the core FS path is understood.	portable/teaching		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
minix	important	teaching	sources/teaching/minix	defer	no	P3	later-comparison	L0 teaching FS	teaching	C	Study only after the core FS path is understood.	portable/teaching		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
os161	important	teaching	sources/teaching/os161	defer	no	P3	later-comparison	L0 teaching FS	teaching	C	Study only after the core FS path is understood.	portable/teaching		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
pintos	adjacent	teaching	sources/teaching/pintos	defer	no	P3	later-comparison	L0 teaching FS	teaching	C	Study only after the core FS path is understood.	portable/teaching		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
e2fsprogs	required	local-fs	sources/local-fs/e2fsprogs	keep	yes	P0	os-and-protocol-baseline	L1 local filesystem/tools	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		First-pass source: core OS/protocol/distributed FS path or mandatory validation gate.
xfsprogs	required	local-fs	sources/local-fs/xfsprogs	keep	yes	P0	os-and-protocol-baseline	L1 local filesystem/tools	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		First-pass source: core OS/protocol/distributed FS path or mandatory validation gate.
xfsdump	important	local-fs	sources/local-fs/xfsdump	defer	no	P3	os-and-protocol-baseline	L1 local filesystem/tools	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
btrfs-progs	required	local-fs	sources/local-fs/btrfs-progs	keep	yes	P0	os-and-protocol-baseline	L1 local filesystem/tools	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		First-pass source: core OS/protocol/distributed FS path or mandatory validation gate.
btrfs-linux	important	local-fs	sources/local-fs/btrfs-linux	dedup	no	P3-dedup	deduplicated	L1 local filesystem/tools	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux	linux+btrfs-progs	Covered by linux+btrfs-progs; keep as reference but do not count in the optimized first pass.
kdave-linux	important	local-fs	sources/local-fs/kdave-linux	dedup	no	P3-dedup	deduplicated	L1 local filesystem/tools	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux	linux+btrfs-progs	Covered by linux+btrfs-progs; keep as reference but do not count in the optimized first pass.
f2fs-tools	required	local-fs	sources/local-fs/f2fs-tools	keep	yes	P1	os-and-protocol-baseline	L1 local filesystem/tools	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
erofs-utils	required	local-fs	sources/local-fs/erofs-utils	keep	yes	P1	os-and-protocol-baseline	L1 local filesystem/tools	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
dosfstools	required	local-fs	sources/local-fs/dosfstools	support	no	P2	os-and-protocol-baseline	L1 local filesystem/tools	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
exfatprogs	required	local-fs	sources/local-fs/exfatprogs	support	no	P2	os-and-protocol-baseline	L1 local filesystem/tools	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
ntfs-3g	required	local-fs	sources/local-fs/ntfs-3g	support	no	P2	os-and-protocol-baseline	L1 local filesystem/tools	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
udftools	important	local-fs	sources/local-fs/udftools	support	no	P2	os-and-protocol-baseline	L1 local filesystem/tools	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
jfsutils	important	local-fs	sources/local-fs/jfsutils	support	no	P2	os-and-protocol-baseline	L1 local filesystem/tools	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
reiserfsprogs	adjacent	local-fs	sources/local-fs/reiserfsprogs	defer	no	P3	os-and-protocol-baseline	L1 local filesystem/tools	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
squashfs-tools	important	local-fs	sources/local-fs/squashfs-tools	support	no	P2	os-and-protocol-baseline	L1 local filesystem/tools	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
apfs-fuse	adjacent	local-fs	sources/local-fs/apfs-fuse	defer	no	P3	os-and-protocol-baseline	L1 local filesystem/tools	local-fs	C++	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
linux-apfs-rw	adjacent	local-fs	sources/local-fs/linux-apfs-rw	defer	no	P3	os-and-protocol-baseline	L1 local filesystem/tools	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
openzfs	required	cow-pools	sources/cow-pools/openzfs	keep	yes	P0	os-and-protocol-baseline	L1 local COW filesystem/pool	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux,bsd		First-pass source: core OS/protocol/distributed FS path or mandatory validation gate.
bcachefs	required	cow-pools	sources/cow-pools/bcachefs	keep	yes	P1	os-and-protocol-baseline	L1 local COW filesystem/pool	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux,bsd		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
bcachefs-tools	required	cow-pools	sources/cow-pools/bcachefs-tools	keep	yes	P1	os-and-protocol-baseline	L1 local COW filesystem/pool	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux,bsd		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
nilfs-utils	required	cow-pools	sources/cow-pools/nilfs-utils	support	no	P2	os-and-protocol-baseline	L1 local COW filesystem/pool	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux,bsd		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
nilfs2-kmod10	important	cow-pools	sources/cow-pools/nilfs2-kmod10	defer	no	P3	os-and-protocol-baseline	L1 local COW filesystem/pool	local-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux,bsd		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
bcache-tools	required	block-storage	sources/block-storage/bcache-tools	support	no	P2	os-and-protocol-baseline	L1 block/storage substrate	block-substrate	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
util-linux	important	block-storage	sources/block-storage/util-linux	keep	yes	P1	os-and-protocol-baseline	L1 block/storage substrate	block-substrate	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
mdadm	important	block-storage	sources/block-storage/mdadm	support	no	P2	os-and-protocol-baseline	L1 block/storage substrate	block-substrate	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
parted	important	block-storage	sources/block-storage/parted	support	no	P2	os-and-protocol-baseline	L1 block/storage substrate	block-substrate	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
linux-dm	important	block-storage	sources/block-storage/linux-dm	dedup	no	P3-dedup	deduplicated	L1 block/storage substrate	block-substrate	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux	linux+lvm2	Covered by linux+lvm2; keep as reference but do not count in the optimized first pass.
lvm2	required	block-storage	sources/block-storage/lvm2	keep	yes	P1	os-and-protocol-baseline	L1 block/storage substrate	block-substrate	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
thin-provisioning-tools	required	block-storage	sources/block-storage/thin-provisioning-tools	support	no	P2	os-and-protocol-baseline	L1 block/storage substrate	block-substrate	C++	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
cryptsetup	required	block-storage	sources/block-storage/cryptsetup	keep	yes	P1	os-and-protocol-baseline	L1 block/storage substrate	block-substrate	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
vdo	important	block-storage	sources/block-storage/vdo	support	no	P2	os-and-protocol-baseline	L1 block/storage substrate	block-substrate	C++	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
kvdo	important	block-storage	sources/block-storage/kvdo	dedup	no	P3-dedup	deduplicated	L1 block/storage substrate	block-substrate	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux	linux+vdo	Covered by linux+vdo; keep as reference but do not count in the optimized first pass.
stratisd	important	block-storage	sources/block-storage/stratisd	support	no	P2	os-and-protocol-baseline	L1 block/storage substrate	block-substrate	Rust	Rust is useful for memory-safe userspace components; not the first stop for mature kernel FS internals.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
stratis-cli	important	block-storage	sources/block-storage/stratis-cli	support	no	P2	os-and-protocol-baseline	L1 block/storage substrate	block-substrate	Python	Study only after the core FS path is understood.	linux		Valid source but not first-pass count; use for OS/platform comparison, tooling, or operational integration.
devicemapper-rs	adjacent	block-storage	sources/block-storage/devicemapper-rs	defer	no	P3	os-and-protocol-baseline	L1 block/storage substrate	block-substrate	Rust	Rust is useful for memory-safe userspace components; not the first stop for mature kernel FS internals.	linux		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
libcryptsetup-rs	adjacent	block-storage	sources/block-storage/libcryptsetup-rs	defer	no	P3	os-and-protocol-baseline	L1 block/storage substrate	block-substrate	Rust	Rust is useful for memory-safe userspace components; not the first stop for mature kernel FS internals.	linux		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
libblkid-rs	adjacent	block-storage	sources/block-storage/libblkid-rs	defer	no	P3	os-and-protocol-baseline	L1 block/storage substrate	block-substrate	Rust	Rust is useful for memory-safe userspace components; not the first stop for mature kernel FS internals.	linux		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
libfuse	required	user-network-fs	sources/user-network-fs/libfuse	keep	yes	P0	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux,macos,windows-via-ports		First-pass source: core OS/protocol/distributed FS path or mandatory validation gate.
sshfs	required	user-network-fs	sources/user-network-fs/sshfs	defer	no	P3	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux,macos,windows-via-ports		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
go-fuse	important	user-network-fs	sources/user-network-fs/go-fuse	defer	no	P3	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	Go	Go is useful for distributed service/control-plane code; avoid treating it as kernel/hot-path FS baseline.	linux,macos,windows-via-ports		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
bazil-fuse	important	user-network-fs	sources/user-network-fs/bazil-fuse	defer	no	P3	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	Go	Go is useful for distributed service/control-plane code; avoid treating it as kernel/hot-path FS baseline.	linux,macos,windows-via-ports		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
pyfuse3	important	user-network-fs	sources/user-network-fs/pyfuse3	defer	no	P3	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	Python,C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux,macos,windows-via-ports		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
fusepy	important	user-network-fs	sources/user-network-fs/fusepy	defer	no	P3	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	Python	Study only after the core FS path is understood.	linux,macos,windows-via-ports		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
s3fs-fuse	important	user-network-fs	sources/user-network-fs/s3fs-fuse	defer	no	P3	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	C++	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux,macos,windows-via-ports		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
gcsfuse	important	user-network-fs	sources/user-network-fs/gcsfuse	defer	no	P3	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	Go	Go is useful for distributed service/control-plane code; avoid treating it as kernel/hot-path FS baseline.	linux,macos,windows-via-ports		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
blobfuse2	important	user-network-fs	sources/user-network-fs/blobfuse2	defer	no	P3	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	Go	Go is useful for distributed service/control-plane code; avoid treating it as kernel/hot-path FS baseline.	linux,macos,windows-via-ports		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
mergerfs	important	user-network-fs	sources/user-network-fs/mergerfs	defer	no	P3	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	C++	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux,macos,windows-via-ports		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
nfs-utils	required	user-network-fs	sources/user-network-fs/nfs-utils	keep	yes	P0	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux,macos,windows-via-ports		First-pass source: core OS/protocol/distributed FS path or mandatory validation gate.
nfs-ganesha	required	user-network-fs	sources/user-network-fs/nfs-ganesha	keep	yes	P0	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux,macos,windows-via-ports		First-pass source: core OS/protocol/distributed FS path or mandatory validation gate.
libnfs	important	user-network-fs	sources/user-network-fs/libnfs	keep	yes	P1	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux,macos,windows-via-ports		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
go-nfs	adjacent	user-network-fs	sources/user-network-fs/go-nfs	defer	no	P3	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	Go	Go is useful for distributed service/control-plane code; avoid treating it as kernel/hot-path FS baseline.	linux,macos,windows-via-ports		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
samba	required	user-network-fs	sources/user-network-fs/samba	keep	yes	P0	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	C,Python	C protocol/VFS modules first; Python tests/build glue later.	linux,macos,windows-via-ports		First-pass source: core OS/protocol/distributed FS path or mandatory validation gate.
cifs-utils	required	user-network-fs	sources/user-network-fs/cifs-utils	keep	yes	P1	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux,macos,windows-via-ports		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
ksmbd-tools	important	user-network-fs	sources/user-network-fs/ksmbd-tools	defer	no	P3	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux,macos,windows-via-ports		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
libsmb2	important	user-network-fs	sources/user-network-fs/libsmb2	defer	no	P3	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux,macos,windows-via-ports		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
impacket	important	user-network-fs	sources/user-network-fs/impacket	defer	no	P3	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	Python	Study only after the core FS path is understood.	linux,macos,windows-via-ports		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
smbj	adjacent	user-network-fs	sources/user-network-fs/smbj	defer	no	P3	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	Java	Study only after the core FS path is understood.	linux,macos,windows-via-ports		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
smblibrary	adjacent	user-network-fs	sources/user-network-fs/smblibrary	defer	no	P3	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	C#	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux,macos,windows-via-ports		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
davfs2	important	user-network-fs	sources/user-network-fs/davfs2	defer	no	P3	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	C	C/C++ first because ABI, kernel, page-cache, repair, and protocol hot paths dominate.	linux,macos,windows-via-ports		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
rclone	adjacent	user-network-fs	sources/user-network-fs/rclone	defer	no	P3	os-and-protocol-baseline	L2 user/network filesystem	network/user-fs	Go	Go is useful for distributed service/control-plane code; avoid treating it as kernel/hot-path FS baseline.	linux,macos,windows-via-ports		Legitimate source, deferred to keep the first pass focused and below the LOC ceiling.
ceph	required	distributed-fs	sources/distributed-fs/ceph	keep	yes	P0	distributed-first	L3 distributed/parallel filesystem	distributed-fs	C++	C++ data path and metadata daemons first; Python/admin glue later.	linux-first; clients on linux/macos/windows exist but CephFS kernel path is linux-first		First-pass source: core OS/protocol/distributed FS path or mandatory validation gate.
ceph-client	important	distributed-fs	sources/distributed-fs/ceph-client	dedup	no	P3-dedup	deduplicated	L3 distributed/parallel filesystem	distributed-fs	C	Study the C/C++ data path before tests, bindings, and management glue.	linux-first	linux+ceph	Covered by linux+ceph; keep as reference but do not count in the optimized first pass.
glusterfs	required	distributed-fs	sources/distributed-fs/glusterfs	keep	yes	P0	distributed-first	L3 distributed/parallel filesystem	distributed-fs	C	Study the C/C++ data path before tests, bindings, and management glue.	linux-first		First-pass source: core OS/protocol/distributed FS path or mandatory validation gate.
lustre-release	required	distributed-fs	sources/distributed-fs/lustre-release	keep	yes	P0	distributed-first	L3 distributed/parallel filesystem	distributed-fs	C	Study the C/C++ data path before tests, bindings, and management glue.	linux-first		First-pass source: core OS/protocol/distributed FS path or mandatory validation gate.
beegfs	required	distributed-fs	sources/distributed-fs/beegfs	keep	yes	P0	distributed-first	L3 distributed/parallel filesystem	distributed-fs	C,C++	C kernel/client paths first, then C++ daemons; Go/Rust management repos are secondary.	linux-first		First-pass source: core OS/protocol/distributed FS path or mandatory validation gate.
beegfs-rust	important	distributed-fs	sources/distributed-fs/beegfs-rust	dedup	no	P3-dedup	deduplicated	L3 distributed/parallel filesystem	distributed-fs	Rust	Rust core is worth studying after C/C++ distributed FS; useful for userspace metadata/control tradeoffs.	linux-first	beegfs	Covered by beegfs; keep as reference but do not count in the optimized first pass.
beegfs-go	important	distributed-fs	sources/distributed-fs/beegfs-go	dedup	no	P3-dedup	deduplicated	L3 distributed/parallel filesystem	distributed-fs	Go	Go core is worth studying after C/C++ distributed FS; useful for userspace metadata/control tradeoffs.	linux-first	beegfs	Covered by beegfs; keep as reference but do not count in the optimized first pass.
beegfs-protobuf	important	distributed-fs	sources/distributed-fs/beegfs-protobuf	dedup	no	P3-dedup	deduplicated	L3 distributed/parallel filesystem	distributed-fs	Protocol Buffers	Study the C/C++ data path before tests, bindings, and management glue.	linux-first	beegfs	Covered by beegfs; keep as reference but do not count in the optimized first pass.
moosefs	required	distributed-fs	sources/distributed-fs/moosefs	keep	yes	P0	distributed-first	L3 distributed/parallel filesystem	distributed-fs	C	Study the C/C++ data path before tests, bindings, and management glue.	linux-first		First-pass source: core OS/protocol/distributed FS path or mandatory validation gate.
lizardfs	important	distributed-fs	sources/distributed-fs/lizardfs	dedup	no	P3-dedup	deduplicated	L3 distributed/parallel filesystem	distributed-fs	C++	Study the C/C++ data path before tests, bindings, and management glue.	linux-first	moosefs	Covered by moosefs; keep as reference but do not count in the optimized first pass.
orangefs	important	distributed-fs	sources/distributed-fs/orangefs	keep	yes	P1	distributed-first	L3 distributed/parallel filesystem	distributed-fs	C	Study the C/C++ data path before tests, bindings, and management glue.	linux-first		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
hadoop	required	distributed-fs	sources/distributed-fs/hadoop	keep	yes	P1	distributed-first	L3 distributed/parallel filesystem	distributed-fs	Java	Java core is worth studying after C/C++ distributed FS; useful for userspace metadata/control tradeoffs.	linux,macos,windows userspace		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
alluxio	required	distributed-fs	sources/distributed-fs/alluxio	keep	yes	P1	distributed-first	L3 distributed/parallel filesystem	distributed-fs	Java	Java core is worth studying after C/C++ distributed FS; useful for userspace metadata/control tradeoffs.	linux,macos,windows userspace		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
juicefs	required	distributed-fs	sources/distributed-fs/juicefs	keep	yes	P1	distributed-first	L3 distributed/parallel filesystem	distributed-fs	Go	Go core is worth studying after C/C++ distributed FS; useful for userspace metadata/control tradeoffs.	linux,macos,windows userspace/FUSE		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
seaweedfs	required	distributed-fs	sources/distributed-fs/seaweedfs	keep	yes	P1	distributed-first	L3 distributed/parallel filesystem	distributed-fs	Go	Go core is worth studying after C/C++ distributed FS; useful for userspace metadata/control tradeoffs.	linux,macos,windows userspace/FUSE		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
openafs	important	distributed-fs	sources/distributed-fs/openafs	keep	yes	P1	distributed-first	L3 distributed/parallel filesystem	distributed-fs	C	Study the C/C++ data path before tests, bindings, and management glue.	linux-first		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
coda	important	distributed-fs	sources/distributed-fs/coda	keep	yes	P1	distributed-first	L3 distributed/parallel filesystem	distributed-fs	C,C++	Study the C/C++ data path before tests, bindings, and management glue.	linux-first		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
xrootd	important	distributed-fs	sources/distributed-fs/xrootd	keep	yes	P1	distributed-first	L3 distributed/parallel filesystem	distributed-fs	C++	Study the C/C++ data path before tests, bindings, and management glue.	linux-first		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
eos	important	distributed-fs	sources/distributed-fs/eos	keep	yes	P1	distributed-first	L3 distributed/parallel filesystem	distributed-fs	C++	Study the C/C++ data path before tests, bindings, and management glue.	linux-first		Kept after dedupe as a distinct design family or backend needed for distributed-FS comparison.
